11/6/2017,172.369995,174.990005,171.720001,174.25,173.625839,35026300
11/7/2017,173.910004,175.25,173.600006,174.809998,174.183823,24361500
11/8/2017,174.660004,176.240005,174.330002,176.240005,175.608719,24409500
11/9/2017,175.110001,176.100006,173.139999,175.880005,175.25,29482600
11/10/2017,175.110001,175.380005,174.270004,174.669998,174.669998,25145500
11/13/2017,173.5,174.5,173.399994,173.970001,173.970001,16982100
11/14/2017,173.039993,173.479996,171.179993,171.339996,171.339996,24782500
11/15/2017,169.970001,170.320007,168.380005,169.080002,169.080002,29158100
11/16/2017,171.179993,171.869995,170.300003,171.100006,171.100006,23637500
11/17/2017,171.039993,171.389999,169.639999,170.149994,170.149994,21899500
11/20/2017,170.289993,170.559998,169.559998,169.979996,169.979996,16262400
11/21/2017,170.779999,173.699997,170.779999,173.139999,173.139999,25131300
11/22/2017,173.360001,175,173.050003,174.960007,174.960007,25588900
11/24/2017,175.100006,175.5,174.649994,174.970001,174.970001,14026700
11/27/2017,175.050003,175.080002,173.339996,174.089996,174.089996,20716800
11/28/2017,174.300003,174.869995,171.860001,173.070007,173.070007,26428800
11/29/2017,172.630005,172.919998,167.160004,169.479996,169.479996,41666400
11/30/2017,170.429993,172.139999,168.440002,171.850006,171.850006,41527200
12/1/2017,169.949997,171.669998,168.5,171.050003,171.050003,39726100
12/4/2017,172.479996,172.619995,169.630005,169.800003,169.800003,32532036
